# total=90 returned=90 truncated=false
id,company,ticker,exchange,cik,items,sector,filerCategory,revenue,revenueFY,city,hq,formerName,event,filed,deadline,quote,source,profile
"0001104659-26-109149","Aldel Financial II Inc.","","","2031561","","Real Estate & Construction","","","","ITASCA","IL","","2026-10-05","2026-09-21","","","https://www.sec.gov/Archives/edgar/data/2031561/000110465926109149/0001104659-26-109149-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=2031561&type=8-K&dateb=&owner=include&count=40"
"0001104659-26-109259","SOUTHERN MISSOURI BANCORP, INC.","","","916907","","Finance","","","","POPLAR BLUFF","MO","SOUTHERN MISSOURI BANCORP INC","2026-10-26","2026-09-21","","","https://www.sec.gov/Archives/edgar/data/916907/000110465926109259/0001104659-26-109259-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=916907&type=8-K&dateb=&owner=include&count=40"
"0001140361-26-037241","Local Bounti Corporation/DE","","","1840780","","Industrial Applications and Services","","","","HAMILTON","MT","Leo Holdings III Corp.","2026-11-04","2026-09-21","","","https://www.sec.gov/Archives/edgar/data/1840780/000114036126037241/0001140361-26-037241-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1840780&type=8-K&dateb=&owner=include&count=40"
"0001213900-26-101811","Cyngn Inc.","","","1874097","","Technology","","","","MOUNTAIN VIEW","CA","Cyngn, Inc.","2026-11-03","2026-09-21","","","https://www.sec.gov/Archives/edgar/data/1874097/000121390026101811/0001213900-26-101811-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1874097&type=8-K&dateb=&owner=include&count=40"
"0001308179-26-000402","CARDINAL HEALTH INC","","","721371","","Trade & Services","","","","DUBLIN","OH","CARDINAL DISTRIBUTION INC","2026-11-12","2026-09-21","","","https://www.sec.gov/Archives/edgar/data/721371/000130817926000402/0001308179-26-000402-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=721371&type=8-K&dateb=&owner=include&count=40"
"0001493152-26-043513","Alpha Star Acquisition Corp","","","1865111","","Technology","","","","NEW YORK","NY","","2026-09-21","2026-09-21","","","https://www.sec.gov/Archives/edgar/data/1865111/000149315226043513/0001493152-26-043513-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1865111&type=8-K&dateb=&owner=include&count=40"
"0001590976-26-000067","MALIBU BOATS, INC.","MBUU","Nasdaq","1590976","","Ship & Boat Building & Repairing","Accelerated filer","914590000","2026","LOUDON","TN","Malibu Boats, Inc.","2026-11-03","2026-09-21","","","https://www.sec.gov/Archives/edgar/data/1590976/000159097626000067/0001590976-26-000067-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1590976&type=8-K&dateb=&owner=include&count=40"
"0001829126-26-010272","STARRY SEA ACQUISITION CORP","","","2059165","","Real Estate & Construction","","","","GRAND CAYMAN","","","2026-10-09","2026-09-21","","","https://www.sec.gov/Archives/edgar/data/2059165/000182912626010272/0001829126-26-010272-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=2059165&type=8-K&dateb=&owner=include&count=40"
"0001104659-26-108932","Legacy Housing Corp","LEGH","Nasdaq","1436208","","Mobile Homes","Accelerated filer · Smaller reporting company","164567000","2025","BEDFORD","TX","Legacy Housing, LTD.","2026-10-28","2026-09-18","","","https://www.sec.gov/Archives/edgar/data/1436208/000110465926108932/0001104659-26-108932-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1436208&type=8-K&dateb=&owner=include&count=40"
"0001104659-26-108939","PHIBRO ANIMAL HEALTH CORP","PAHC","Nasdaq","1069899","","Pharmaceutical Preparations","Large accelerated filer","1518093000","2026","TEANECK","NJ","PHILIPP BROTHERS CHEMICALS INC","2026-11-03","2026-09-18","","","https://www.sec.gov/Archives/edgar/data/1069899/000110465926108939/0001104659-26-108939-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1069899&type=8-K&dateb=&owner=include&count=40"
