# total=22 returned=22 truncated=false
id,company,ticker,exchange,cik,items,sector,filerCategory,revenue,revenueFY,city,hq,formerName,event,filed,deadline,quote,source,profile
"0001702780-26-000057","Optimum Communications, Inc.","","","1702780","2.02 4.02 9.01","Technology","","","","LONG ISLAND CITY","NY","Altice USA, Inc.","2026-09-16","2026-09-21","","","https://www.sec.gov/Archives/edgar/data/1702780/000170278026000057/0001702780-26-000057-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1702780&type=8-K&dateb=&owner=include&count=40"
"0001193125-26-395292","Gold.com, Inc.","GOLD","NYSE","1591588","4.01 9.01","Wholesale-Jewelry, Watches, Precious Stones & Metals","Accelerated filer","25513409000","2026","COSTA MESA","CA","A-Mark Precious Metals, Inc.","2026-09-14","2026-09-18","","","https://www.sec.gov/Archives/edgar/data/1591588/000119312526395292/0001193125-26-395292-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1591588&type=8-K&dateb=&owner=include&count=40"
"0001213900-26-101435","La Rosa Holdings Corp.","LRHC","Nasdaq","1879403","4.01 9.01","Real Estate Agents & Managers (For Others)","Emerging growth company","68507806","2025","CELEBRATION","FL","","2026-09-16","2026-09-18","","","https://www.sec.gov/Archives/edgar/data/1879403/000121390026101435/0001213900-26-101435-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1879403&type=8-K&dateb=&owner=include&count=40"
"0001213900-26-101474","IT TECH PACKAGING, INC.","ITP","NYSE","1358190","4.01 9.01","Converted Paper & Paperboard Prods (No Contaners/Boxes)","Non-accelerated filer · Smaller reporting company","75837943","2024","HEBEI PROVINCE,","F4","Orient Paper Inc.","2026-09-16","2026-09-18","","","https://www.sec.gov/Archives/edgar/data/1358190/000121390026101474/0001213900-26-101474-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1358190&type=8-K&dateb=&owner=include&count=40"
"0001493152-26-043070","Metal Sky Star Acquisition Corp","","","1882464","4.01 9.01","Real Estate & Construction","","","","HOBOKEN","NJ","Metal Sky Acquisition Corp","2026-09-04","2026-09-17","","","https://www.sec.gov/Archives/edgar/data/1882464/000149315226043070/0001493152-26-043070-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1882464&type=8-K&dateb=&owner=include&count=40"
"0001493152-26-043135","HEALTHY CHOICE WELLNESS CORP.","HCWC","NYSE","1948864","1.01 2.01 2.02 3.02 3.03 4.01 5.01 5.02 5.03 9.01","Retail-Grocery Stores","Emerging growth company","78205678","2025","HOLLYWOOD","FL","","2026-09-17","2026-09-17","","In February 2026, we acquired T-20 Mining LLC (""T-20""), a Delaware limited liability company that held an Electric Service Agreement (""ESA"") with the applicable utility provider for the Project Facility's location.","https://www.sec.gov/Archives/edgar/data/1948864/000149315226043135/0001493152-26-043135-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1948864&type=8-K&dateb=&owner=include&count=40"
"0001683168-26-007212","DarkPulse, Inc.","","","866439","4.01","Technology","","","","PHOENIX","AZ","KLEVER MARKETING INC","2026-09-11","2026-09-17","","","https://www.sec.gov/Archives/edgar/data/866439/000168316826007212/0001683168-26-007212-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=866439&type=8-K&dateb=&owner=include&count=40"
"0001193125-26-393238","Nuburu, Inc.","BURU","","1814215","4.02","Miscellaneous Electrical Machinery, Equipment & Supplies","Non-accelerated filer · Smaller reporting company","152127","2024","DENVER","CO","Tailwind Acquisition Corp.","2026-09-16","2026-09-16","","","https://www.sec.gov/Archives/edgar/data/1814215/000119312526393238/0001193125-26-393238-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1814215&type=8-K&dateb=&owner=include&count=40"
"0001437749-26-030517","ALPHA PRO TECH LTD","","","884269","4.01 9.01","Industrial Applications and Services","","","","AURORA","","BFD INDUSTRIES INC","2026-09-14","2026-09-16","","","https://www.sec.gov/Archives/edgar/data/884269/000143774926030517/0001437749-26-030517-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=884269&type=8-K&dateb=&owner=include&count=40"
"0001493152-26-042938","SurgePays, Inc.","","","1392694","4.01","Technology","","","","BARTLETT","TN","Surge Holdings, Inc.","2026-09-11","2026-09-16","","","https://www.sec.gov/Archives/edgar/data/1392694/000149315226042938/0001493152-26-042938-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1392694&type=8-K&dateb=&owner=include&count=40"
"0001640334-26-001562","Stark Focus Group, Inc.","","","1794942","4.01 9.01","Trade & Services","","","","CALGARY","A0","","2026-09-10","2026-09-16","","","https://www.sec.gov/Archives/edgar/data/1794942/000164033426001562/0001640334-26-001562-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1794942&type=8-K&dateb=&owner=include&count=40"
"0001493152-26-042171","East West Ave Acquisition Corp.","","","2100704","4.01 9.01","","","","","","","","2026-09-08","2026-09-10","","","https://www.sec.gov/Archives/edgar/data/2100704/000149315226042171/0001493152-26-042171-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=2100704&type=8-K&dateb=&owner=include&count=40"
"0000058361-26-000067","LEE ENTERPRISES, Inc","","","58361","4.01","","","","","","","","2026-09-02","2026-09-09","","","https://www.sec.gov/Archives/edgar/data/58361/000005836126000067/0000058361-26-000067-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=58361&type=8-K&dateb=&owner=include&count=40"
"0001193125-26-385826","Blue Laser Fusion, Inc.","","","1938570","1.01 2.01 3.02 3.03 4.01 5.01 5.02 5.03 5.05 5.06 9.01","Blank Checks","Non-accelerated filer · Smaller reporting company · Emerging growth company","","","GOLETA","CA","Unite Acquisition 2 Corp.","2026-09-04","2026-09-09","","","https://www.sec.gov/Archives/edgar/data/1938570/000119312526385826/0001193125-26-385826-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1938570&type=8-K&dateb=&owner=include&count=40"
"0001493152-26-041986","SDR Drone, Inc.","","","1331421","4.02 9.01","","","","","","","","2026-09-09","2026-09-09","","","https://www.sec.gov/Archives/edgar/data/1331421/000149315226041986/0001493152-26-041986-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1331421&type=8-K&dateb=&owner=include&count=40"
"0001104659-26-105493","Katapult Holdings, Inc.","KPLT","Nasdaq","1785424","4.01 9.01","Services-Equipment Rental & Leasing, NEC","Non-accelerated filer · Smaller reporting company","291761000","2025","NEW YORK","NY","","2026-09-02","2026-09-04","","","https://www.sec.gov/Archives/edgar/data/1785424/000110465926105493/0001104659-26-105493-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1785424&type=8-K&dateb=&owner=include&count=40"
"0001104659-26-105500","Irenic Acquisition Corp.","","","2122505","4.01 9.01","","","","","","","","2026-09-02","2026-09-04","","","https://www.sec.gov/Archives/edgar/data/2122505/000110465926105500/0001104659-26-105500-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=2122505&type=8-K&dateb=&owner=include&count=40"
"0001472375-26-000217","REGENEREX PHARMA, INC.","","","1357878","4.01 9.01","","","","","","","","2026-09-04","2026-09-04","","","https://www.sec.gov/Archives/edgar/data/1357878/000147237526000217/0001472375-26-000217-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1357878&type=8-K&dateb=&owner=include&count=40"
"0001193125-26-380348","HORNBECK OFFSHORE SERVICES, INC.","HOS","NYSE","866829","4.01 9.01","Oil & Gas Field Services, NEC","Large accelerated filer","1291474000","2025","COVINGTON","LA","","2026-09-02","2026-09-02","","","https://www.sec.gov/Archives/edgar/data/866829/000119312526380348/0001193125-26-380348-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=866829&type=8-K&dateb=&owner=include&count=40"
"0001213900-26-096337","BioRestorative Therapies, Inc.","BRTX","Nasdaq","1505497","4.01 5.02 9.01","Services-Misc Health & Allied Services, NEC","Non-accelerated filer · Smaller reporting company","359700","2025","MELVILLE","NY","","2026-08-26","2026-09-02","","","https://www.sec.gov/Archives/edgar/data/1505497/000121390026096337/0001213900-26-096337-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1505497&type=8-K&dateb=&owner=include&count=40"
"0001829126-26-009632","Exascale Labs Holdings Inc.","","","2109869","1.01 1.02 2.01 3.01 3.03 4.01 5.01 5.02 5.03 5.06 7.01 9.01","Technology","","","","NEW YORK","NY","D. Boral ARC Merger Corp","2026-08-27","2026-09-02","","","https://www.sec.gov/Archives/edgar/data/2109869/000182912626009632/0001829126-26-009632-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=2109869&type=8-K&dateb=&owner=include&count=40"
"0001683168-26-006769","RemSleep Holdings Inc.","","","1412126","4.01 8.01 9.01","","","","","","","","2026-07-17","2026-08-28","","","https://www.sec.gov/Archives/edgar/data/1412126/000168316826006769/0001683168-26-006769-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1412126&type=8-K&dateb=&owner=include&count=40"
