id,company,ticker,exchange,cik,items,sector,filerCategory,revenue,revenueFY,city,hq,formerName,event,filed,deadline,quote,source,profile
"0001104659-26-108243","Replimune Group, Inc.","REPL","Nasdaq","1737953","5.03 5.07 9.01","Biological Products, (No Diagnostic Substances)","Non-accelerated filer · Smaller reporting company","","","WOBURN","MA","","2026-09-15","2026-09-16","","","https://www.sec.gov/Archives/edgar/data/1737953/000110465926108243/0001104659-26-108243-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1737953&type=8-K&dateb=&owner=include&count=40"
"0001193125-26-393037","INVE Technologies, Inc.","INVE","Nasdaq","1036044","2.01 5.03 5.07 7.01 9.01","Computer Peripheral Equipment, NEC","Non-accelerated filer · Smaller reporting company","21484000","2025","SANTA ANA","CA","","2026-09-10","2026-09-16","","On June 24, 2026, the Company entered into a Stock and Asset Purchase Agreement (the “Agreement”) with Trackonomy Systems, Inc., a Delaware corporation (“Buyer”).","https://www.sec.gov/Archives/edgar/data/1036044/000119312526393037/0001193125-26-393037-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1036044&type=8-K&dateb=&owner=include&count=40"
"0001213900-26-100354","Bryn Inc.","BRRN","OTC","1397795","5.03 9.01","Services-Management Services","Non-accelerated filer · Smaller reporting company","40900","2012","CORAL GABLES","FL","","2026-09-15","2026-09-16","","","https://www.sec.gov/Archives/edgar/data/1397795/000121390026100354/0001213900-26-100354-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1397795&type=8-K&dateb=&owner=include&count=40"
"0001213900-26-100518","Nuvve Holding Corp.","NVVE","OTC","1836875","1.01 2.03 3.02 3.03 5.03 9.01","Miscellaneous Electrical Machinery, Equipment & Supplies","Non-accelerated filer · Smaller reporting company","4793942","2025","SAN DIEGO","CA","","2026-09-10","2026-09-16","","The Board of Directors of the Company has approved these irrevocable instructions and does hereby extend the Company's irrevocable agreement to indemnify your firm for all loss, liability or expense in carrying out the authority and direction herein contained on the terms herein set forth.","https://www.sec.gov/Archives/edgar/data/1836875/000121390026100518/0001213900-26-100518-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1836875&type=8-K&dateb=&owner=include&count=40"
"0001493152-26-042937","CYBERLOQ TECHNOLOGIES, INC.","","","1437517","1.01 5.03 5.07 9.01","Technology","","","","SARASOTA","FL","ADVANCED CREDIT TECHNOLOGIES INC","2026-09-16","2026-09-16","","","https://www.sec.gov/Archives/edgar/data/1437517/000149315226042937/0001493152-26-042937-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1437517&type=8-K&dateb=&owner=include&count=40"
"0001683168-26-007194","YHN Acquisition I Ltd","","","2020987","1.01 5.03 5.07 8.01 9.01","Real Estate & Construction","","","","WANCHAI","","","2026-09-14","2026-09-16","","","https://www.sec.gov/Archives/edgar/data/2020987/000168316826007194/0001683168-26-007194-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=2020987&type=8-K&dateb=&owner=include&count=40"
"0001193125-26-391415","Jaguar Health, Inc.","JAGX","Nasdaq","1585608","3.03 5.03 7.01 9.01","Pharmaceutical Preparations","Non-accelerated filer · Smaller reporting company","11511000","2025","SAN FRANCISCO","CA","","2026-09-14","2026-09-15","","The Company’s Common Stock will begin trading on a split-adjusted basis when the market opens on the Effective Date and will remain listed on The Nasdaq Capital Market under the symbol “JAGX”.","https://www.sec.gov/Archives/edgar/data/1585608/000119312526391415/0001193125-26-391415-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1585608&type=8-K&dateb=&owner=include&count=40"
"0001213900-26-100156","Tessera Defense & Homeland Security Inc.","HLSQ","NYSE","1739174","5.03 7.01 9.01","Services-Prepackaged Software","Non-accelerated filer · Smaller reporting company","","","DOVER","DE","","2026-09-11","2026-09-15","","","https://www.sec.gov/Archives/edgar/data/1739174/000121390026100156/0001213900-26-100156-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1739174&type=8-K&dateb=&owner=include&count=40"
"0001493152-26-042668","Quality Industrial Corp.","","","1393781","5.03 9.01","Technology","","","","SAN FRANCISCO","CA","WIKISOFT CORP.","2026-09-11","2026-09-15","","","https://www.sec.gov/Archives/edgar/data/1393781/000149315226042668/0001493152-26-042668-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1393781&type=8-K&dateb=&owner=include&count=40"
"0001493152-26-042672","GT Biopharma, Inc.","","","109657","1.01 3.02 3.03 5.03 9.01","Life Sciences","","","","SAN FRANCISCO","CA","OXIS INTERNATIONAL INC","2026-09-14","2026-09-15","","","https://www.sec.gov/Archives/edgar/data/109657/000149315226042672/0001493152-26-042672-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=109657&type=8-K&dateb=&owner=include&count=40"
