cik,fiscalYearEnd,low,high,method,rowHash,status,ticker,name,sic,revenue,auditedYears,loggedAt
1000228,2025-12-27,10703448403,15359123455,v3,cfa8c2e3582de7e9,open,HSIC,"HENRY SCHEIN, INC.",5047,13184000000,5,2026-09-23T14:36:14.877Z
1000230,2025-10-31,40218023,103135411,v3,d50a4ef1ef17edd1,open,OCC,OPTICAL CABLE CORPORATION,3357,73038213,5,2026-09-20T13:13:38.076Z
1001233,2025-12-31,10928504,67607857,v4.1,d0b0a6dc053cb19e,open,SGMOQ,"SANGAMO THERAPEUTICS, INC.",2836,39552000,5,2026-09-24T16:08:28.715Z
1001233,2025-12-31,14345662,36788128,v3,cee587ac2262def4,open,SGMOQ,"SANGAMO THERAPEUTICS, INC.",2836,39552000,5,2026-09-20T13:13:10.453Z
1001250,2026-06-30,11969391625,16700267670,v3,8d2f1f16d50c66ff,open,EL,Estee Lauder Companies Inc,2844,15049000000,5,2026-09-20T13:13:44.655Z
1001250,2026-06-30,13290684409,16416056170,v4.1,4c979d4423ca4bd5,open,EL,Estee Lauder Companies Inc,2844,15049000000,5,2026-09-24T21:30:23.105Z
1002047,2026-04-24,5480506770,8128108514,v2,1cfbe7fe582ac9ef,open,NTAP,"NetApp, Inc.",3572,6925000000,5,2026-09-19T16:33:58.731Z
1002047,2026-04-24,5480506770,8128108514,v3,43fa931da5883100,open,NTAP,"NetApp, Inc.",3572,6925000000,5,2026-09-20T13:12:37.551Z
1002047,2026-04-24,6429785826,7718597166,v4.1,64bd01ffd1e12592,open,NTAP,"NetApp, Inc.",3572,6925000000,5,2026-09-24T13:29:34.277Z
1002047,2026-04-24,7086210028,7296960590,v1,c75d7d2b1f6c3075,open,NTAP,"NetApp, Inc.",3572,6925000000,5,2026-09-19T16:24:05.541Z
1003078,2025-08-30,2855901418,4235571198,v3,a55c682be1b34e5e,open,MSM,"MSC INDUSTRIAL DIRECT CO., INC.",5084,3769521000,5,2026-09-20T13:12:57.265Z
1003078,2025-08-30,3250423084,4146223438,v4.1,81f66cb006983d4a,open,MSM,"MSC INDUSTRIAL DIRECT CO., INC.",5084,3769521000,5,2026-09-25T16:16:03.712Z
1004155,2015-12-31,2645263362,3923175093,v3,cf8908238493cdc2,void,,The Southern Company,4924,3941000000,5,2026-09-20T13:14:25.301Z
10048,2025-09-30,5489526,19666978,v4.1,e284ec994978cb0e,open,BRN,"BARNWELL INDUSTRIES, INC.",1311,13697000,5,2026-09-24T13:33:15.887Z
10048,2025-09-30,5509397,14128341,v3,142bfae79f124a08,open,BRN,"BARNWELL INDUSTRIES, INC.",1311,13697000,5,2026-09-20T13:12:37.119Z
1005101,2026-06-30,14630782,41207457,v4.1,36c3aceb5640b1a6,open,MGLD,"THE     MARYGOLD COMPANIES, INC.",6199,25313000,5,2026-09-24T14:20:34.585Z
1005229,2026-03-31,1102698097,1634289258,v3,17b3cef8edd3996b,open,CMCO,COLUMBUS MCKINNON CORP,3531,1193451000,5,2026-09-23T14:35:29.813Z
100591,2026-01-31,781220535,1344211232,v3,8425e7ed8baf41c3,open,AGX,ARGAN INC,1700,944606000,5,2026-09-20T13:13:47.150Z
1006045,2026-01-03,28213682,72351384,v3,c29c95d6b48713c2,open,IRIX,IRIDEX CORP,3845,52675000,5,2026-09-20T13:14:26.060Z
