# total=43 returned=43 truncated=false
id,company,ticker,exchange,cik,items,sector,filerCategory,revenue,revenueFY,city,hq,formerName,event,filed,deadline,quote,source,profile
"0001193125-26-396704","Iambic Therapeutics, Inc.","","","1997038","","Life Sciences","","","","SAN DIEGO","CA","","","2026-09-21","","","https://www.sec.gov/Archives/edgar/data/1997038/000119312526396704/0001193125-26-396704-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1997038&type=8-K&dateb=&owner=include&count=40"
"0001213900-26-101822","Silicon Valley Acquisition Corp. II","","","2145826","","","","","","PALO ALTO","CA","","","2026-09-21","","","https://www.sec.gov/Archives/edgar/data/2145826/000121390026101822/0001213900-26-101822-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=2145826&type=8-K&dateb=&owner=include&count=40"
"0001104659-26-108965","SmartKem, Inc.","SMTK","Nasdaq","1817760","","Semiconductors & Related Devices","Emerging growth company","697000","2025","DELAWARE","DE","Parasol Investments Corp","","2026-09-18","","","https://www.sec.gov/Archives/edgar/data/1817760/000110465926108965/0001104659-26-108965-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1817760&type=8-K&dateb=&owner=include&count=40"
"0001193125-26-395475","NSCALE Ltd","","","2110365","","Technology","","","","LONDON","","DSNS HOLDINGS Ltd","","2026-09-18","","","https://www.sec.gov/Archives/edgar/data/2110365/000119312526395475/0001193125-26-395475-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=2110365&type=8-K&dateb=&owner=include&count=40"
"0001193125-26-395671","TRex Bio, Inc.","","","2139097","","Life Sciences","","","","SOUTH SAN FRANCISCO","CA","","","2026-09-18","","","https://www.sec.gov/Archives/edgar/data/2139097/000119312526395671/0001193125-26-395671-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=2139097&type=8-K&dateb=&owner=include&count=40"
"0001213900-26-101444","Fold Holdings, Inc.","FLD","Nasdaq","1889123","","Finance Services","Non-accelerated filer · Smaller reporting company · Emerging growth company","31793673","2025","PHOENIX","AZ","FTAC Emerald Acquisition Corp.","","2026-09-18","","","https://www.sec.gov/Archives/edgar/data/1889123/000121390026101444/0001213900-26-101444-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1889123&type=8-K&dateb=&owner=include&count=40"
"0001213900-26-101499","Retension Pharmaceuticals, Inc.","","","2002988","","Life Sciences","","","","MCLEAN","VA","","","2026-09-18","","","https://www.sec.gov/Archives/edgar/data/2002988/000121390026101499/0001213900-26-101499-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=2002988&type=8-K&dateb=&owner=include&count=40"
"0001213900-26-101505","BioStem Technologies, Inc.","BSEM","Nasdaq","1658678","","Biological Products, (No Diagnostic Substances)","Non-accelerated filer · Smaller reporting company · Emerging growth company","","","POMPANO BEACH","FL","BIOSTEM TECHNOLOGIES","","2026-09-18","","","https://www.sec.gov/Archives/edgar/data/1658678/000121390026101505/0001213900-26-101505-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1658678&type=8-K&dateb=&owner=include&count=40"
"0001213900-26-101512","Lakewood-Amedex Biotherapeutics Inc.","","","2079272","","Life Sciences","","","","UNIVERSITY PARK","FL","","","2026-09-18","","","https://www.sec.gov/Archives/edgar/data/2079272/000121390026101512/0001213900-26-101512-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=2079272&type=8-K&dateb=&owner=include&count=40"
"0001493152-26-043195","Glucotrack, Inc.","GCTK","Nasdaq","1506983","","Surgical & Medical Instruments & Apparatus","Non-accelerated filer · Smaller reporting company","208762","2019","RUTHERFORD","NJ","GlucoTrack, Inc.","","2026-09-18","","","https://www.sec.gov/Archives/edgar/data/1506983/000149315226043195/0001493152-26-043195-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1506983&type=8-K&dateb=&owner=include&count=40"
"0001493152-26-043414","Greenwave Technology Solutions, Inc.","GWAV","Nasdaq","1589149","","Wholesale-Metals Service Centers & of fices","Non-accelerated filer · Smaller reporting company","46660320","2025","CHESAPEAKE","VA","MassRoots, Inc.","","2026-09-18","","","https://www.sec.gov/Archives/edgar/data/1589149/000149315226043414/0001493152-26-043414-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1589149&type=8-K&dateb=&owner=include&count=40"
"0001575872-26-000653","VME Companies, Inc.","","","2113640","","Energy & Transportation","","","","TYLER","TX","","","2026-09-18","","","https://www.sec.gov/Archives/edgar/data/2113640/000157587226000653/0001575872-26-000653-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=2113640&type=8-K&dateb=&owner=include&count=40"
"0001437749-26-030676","GeoVax Labs, Inc.","GOVX","Nasdaq","832489","","Pharmaceutical Preparations","Non-accelerated filer · Smaller reporting company","2489145","2025","SMYRNA","GA","Geovax Labs, Inc.","","2026-09-17","","","https://www.sec.gov/Archives/edgar/data/832489/000143774926030676/0001437749-26-030676-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=832489&type=8-K&dateb=&owner=include&count=40"
"0001185185-26-004071","Lower Cross Acquisitions Corp","","","2147457","","Technology","","","","GREENWICH","CT","","","2026-09-16","","COMPOSITION OF THE COMMITTEE The Committee shall consist of three or more independent directors, as determined from time to time by the Board.","https://www.sec.gov/Archives/edgar/data/2147457/000118518526004071/0001185185-26-004071-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=2147457&type=8-K&dateb=&owner=include&count=40"
"0001185185-26-004010","Oceanhawk Acquisition II Corp.","","","2143038","","Energy & Transportation","","","","NEW YORK","NY","","","2026-09-15","","POLICY FOR RECOVERY OF ERRONEOUSLY AWARDED COMPENSATION Oceanhawk Acquisition II Corp.","https://www.sec.gov/Archives/edgar/data/2143038/000118518526004010/0001185185-26-004010-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=2143038&type=8-K&dateb=&owner=include&count=40"
