id,company,ticker,exchange,cik,items,sector,filerCategory,revenue,revenueFY,city,hq,formerName,event,filed,deadline,quote,source,profile
"0001140361-26-036866","LISATA THERAPEUTICS, INC.","","","320017","1.01 2.01 3.02 5.02 5.03 7.01 9.01","Life Sciences","","","","BASKING RIDGE","NJ","CALADRIUS BIOSCIENCES, INC.","2026-09-17","2026-09-17","","Concurrent with the acquisition, Lisata entered into a definitive purchase agreement for the sale of Series C non-voting convertible preferred stock in a private placement financing, which is expected to result in gross proceeds to Lisata of approximately $225 million before deducting placement agent and other offering expenses.","https://www.sec.gov/Archives/edgar/data/320017/000114036126036866/0001140361-26-036866-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=320017&type=8-K&dateb=&owner=include&count=40"
"0001171843-26-006093","Axe Compute Inc.","AGPU","Nasdaq","1446159","1.01 2.01 9.01","Finance Services","Non-accelerated filer · Smaller reporting company","125284","2025","PITTSBURGH","PA","Predictive Oncology Inc.","2026-09-11","2026-09-17","","Under the agreement, Axe Compute sold its wholly-owned subsidiary Helomics in exchange for common shares and common share equivalents of DataMEDS.","https://www.sec.gov/Archives/edgar/data/1446159/000117184326006093/0001171843-26-006093-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1446159&type=8-K&dateb=&owner=include&count=40"
"0001493152-26-043135","HEALTHY CHOICE WELLNESS CORP.","HCWC","NYSE","1948864","1.01 2.01 2.02 3.02 3.03 4.01 5.01 5.02 5.03 9.01","Retail-Grocery Stores","Emerging growth company","78205678","2025","HOLLYWOOD","FL","","2026-09-17","2026-09-17","","In February 2026, we acquired T-20 Mining LLC (""T-20""), a Delaware limited liability company that held an Electric Service Agreement (""ESA"") with the applicable utility provider for the Project Facility's location.","https://www.sec.gov/Archives/edgar/data/1948864/000149315226043135/0001493152-26-043135-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1948864&type=8-K&dateb=&owner=include&count=40"
"0001571283-26-000051","Rexford Industrial Realty, Inc.","","","1571283","2.01 7.01 9.01","Real Estate & Construction","","","","LOS ANGELES","CA","Rexford Industrial, Inc.","2026-09-16","2026-09-17","","The Portfolio Transaction is part of Rexford Industrial's previously announced portfolio realignment, a $2.0 billion disposition initiative of non-core assets that enhances the Company's portfolio quality, cash flow durability and balance sheet strength.","https://www.sec.gov/Archives/edgar/data/1571283/000157128326000051/0001571283-26-000051-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1571283&type=8-K&dateb=&owner=include&count=40"
"0001638833-26-000085","Surgery Partners, Inc.","SGRY","Nasdaq","1638833","2.01 9.01","Services-General Medical & Surgical Hospitals, NEC","Large accelerated filer","3308700000","2025","BRENTWOOD","TN","","2026-09-14","2026-09-17","","In addition, the unaudited pro forma condensed consolidated financial statements are provided for illustrative and informational purposes only and are not necessarily indicative of the Company’s future results of operations or financial condition had the Transaction been completed on the dates assumed.","https://www.sec.gov/Archives/edgar/data/1638833/000163883326000085/0001638833-26-000085-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1638833&type=8-K&dateb=&owner=include&count=40"
"0001683168-26-007206","AETHLON MEDICAL INC","AEMD","Nasdaq","882291","1.01 5.01 7.01 9.01","Surgical & Medical Instruments & Apparatus","Non-accelerated filer · Smaller reporting company","574245","2023","SAN DIEGO","CA","BISHOP EQUITIES INC","2026-09-17","2026-09-17","","Important Information About Investigational Product Candidates This press release concerns drug candidates that are under preclinical and clinical investigation, and which have not yet been approved by the U.S. Food and Drug Administration.","https://www.sec.gov/Archives/edgar/data/882291/000168316826007206/0001683168-26-007206-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=882291&type=8-K&dateb=&owner=include&count=40"
"0001140361-26-036721","BARNWELL INDUSTRIES INC","","","10048","2.01 7.01 9.01","Energy & Transportation","","","","HOUSTON","TX","BMA CORP/TN","2026-09-15","2026-09-16","","With the closing completed, Barnwell has now monetized its remaining Hawaii development interests.","https://www.sec.gov/Archives/edgar/data/10048/000114036126036721/0001140361-26-036721-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=10048&type=8-K&dateb=&owner=include&count=40"
"0001193125-26-393037","INVE Technologies, Inc.","","","1036044","2.01 5.03 5.07 7.01 9.01","","","","","","","","2026-09-10","2026-09-16","","On June 24, 2026, the Company entered into a Stock and Asset Purchase Agreement (the “Agreement”) with Trackonomy Systems, Inc., a Delaware corporation (“Buyer”).","https://www.sec.gov/Archives/edgar/data/1036044/000119312526393037/0001193125-26-393037-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1036044&type=8-K&dateb=&owner=include&count=40"
"0001493152-26-042846","Reliance Global Group, Inc.","EZRA","Nasdaq","1812727","2.01 7.01 9.01","Insurance Agents, Brokers & Service","Non-accelerated filer · Smaller reporting company","12430959","2025","LAKEWOOD","NJ","","2026-09-11","2026-09-16","","The Southwestern Montana Insurance Center sale is in addition to the previously announced expected sale of the Michigan-based Altruis Benefit Consulting agency.","https://www.sec.gov/Archives/edgar/data/1812727/000149315226042846/0001493152-26-042846-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1812727&type=8-K&dateb=&owner=include&count=40"
"0001717547-26-000065","BrightSpire Capital, Inc.","","","1717547","2.01 9.01","Real Estate & Construction","","","","NEW YORK","NY","Colony Credit Real Estate, Inc.","2026-09-14","2026-09-16","","Unaudited Pro Forma Condensed Consolidated Financial Statements The unaudited pro forma condensed consolidated balance sheet presents the Company’s unaudited condensed consolidated balance sheet as of June 30, 2026, as if the sale had been completed on that date.","https://www.sec.gov/Archives/edgar/data/1717547/000171754726000065/0001717547-26-000065-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1717547&type=8-K&dateb=&owner=include&count=40"
"0001493152-26-042656","Hubilu Venture Corp","","","1639068","1.01 2.01","Real Estate & Construction","","","","BEVERLY HILLS","CA","","2026-09-11","2026-09-15","","","https://www.sec.gov/Archives/edgar/data/1639068/000149315226042656/0001493152-26-042656-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1639068&type=8-K&dateb=&owner=include&count=40"
"0001683168-26-007139","Invech Holdings, Inc.","","","1009919","5.01 5.02 9.01","Trade & Services","","","","LAS VEGAS","NV","Amersin Life Sciences CORP","2026-08-10","2026-09-15","","","https://www.sec.gov/Archives/edgar/data/1009919/000168316826007139/0001683168-26-007139-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1009919&type=8-K&dateb=&owner=include&count=40"
"0001104659-26-107130","KULR Technology Group, Inc.","","","1662684","2.01 5.02","Manufacturing","","","","WEBSTER","TX","KT High-Tech Marketing Inc.","2026-09-04","2026-09-11","","","https://www.sec.gov/Archives/edgar/data/1662684/000110465926107130/0001104659-26-107130-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1662684&type=8-K&dateb=&owner=include&count=40"
"0001140361-26-036283","AtaiBeckley Inc.","","","2081043","2.01 3.01 3.03 5.01 5.02 5.03 9.01","Pharmaceutical Preparations","Emerging growth company","4089000","2025","NEW YORK","NY","atai Life Sciences Luxembourg S.A.","2026-09-11","2026-09-11","","","https://www.sec.gov/Archives/edgar/data/2081043/000114036126036283/0001140361-26-036283-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=2081043&type=8-K&dateb=&owner=include&count=40"
"0001193125-26-389318","Korsana Biosciences, Inc.","KRSA","Nasdaq","1755237","1.01 2.01 2.02 3.02 3.03 5.01 5.02 5.03 5.05 5.06 7.01 9.01","Pharmaceutical Preparations","Non-accelerated filer · Smaller reporting company","2074000","2025","WALTHAM","MA","","2026-09-08","2026-09-11","","Morgan Life Sciences Private Capital, SR One, Sanofi Ventures, Kalehua Capital, Spruce Street Capital, and other leading investment management firms.","https://www.sec.gov/Archives/edgar/data/1755237/000119312526389318/0001193125-26-389318-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1755237&type=8-K&dateb=&owner=include&count=40"
"0001213900-26-099305","AIB Data Centers Inc.","AIB","NYSE","2070542","1.01 2.01 2.03 9.01","Commodity Contracts Brokers & Dealers","Emerging growth company","","","NEW YORK","NY","","2026-09-04","2026-09-11","","","https://www.sec.gov/Archives/edgar/data/2070542/000121390026099305/0001213900-26-099305-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=2070542&type=8-K&dateb=&owner=include&count=40"
"0001493152-26-042429","Volato Group, Inc.","","","1853070","1.01 2.01 2.03 3.02 3.03 5.02 5.03 9.01","Energy & Transportation","","","","CHAMBLEE","GA","PROOF Acquisition Corp I","2026-09-04","2026-09-11","","","https://www.sec.gov/Archives/edgar/data/1853070/000149315226042429/0001493152-26-042429-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1853070&type=8-K&dateb=&owner=include&count=40"
"0001640334-26-001495","GPO Plus, Inc.","","","1673475","1.01 2.01 3.02 5.03 9.01","Trade & Services","","","","LAS VEGAS","NV","GLOBAL HOUSE HOLDINGS LTD.","2026-09-07","2026-09-11","","","https://www.sec.gov/Archives/edgar/data/1673475/000164033426001495/0001640334-26-001495-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1673475&type=8-K&dateb=&owner=include&count=40"
"0001749723-26-000118","New Fortress Energy Inc.","","","1749723","1.01 1.02 2.01 2.03 3.02 3.03 5.02 5.03 8.01 9.01","Energy & Transportation","","","","NEW YORK","NY","New Fortress Energy LLC","2026-09-11","2026-09-11","","","https://www.sec.gov/Archives/edgar/data/1749723/000174972326000118/0001749723-26-000118-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1749723&type=8-K&dateb=&owner=include&count=40"
"0001819790-26-000066","Tarsus Pharmaceuticals, Inc.","","","1819790","2.01 8.01 9.01","Life Sciences","","","","IRVINE","CA","","2026-09-04","2026-09-10","","","https://www.sec.gov/Archives/edgar/data/1819790/000181979026000066/0001819790-26-000066-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1819790&type=8-K&dateb=&owner=include&count=40"
"0001104659-26-106183","Barinthus Biotherapeutics plc.","BRNS","Nasdaq","1828185","1.02 2.01 3.01 3.03 5.01 9.01","Pharmaceutical Preparations","Emerging growth company","14969000","2024","GERMANTOWN","MD","Vaccitech plc","2026-09-09","2026-09-09","","","https://www.sec.gov/Archives/edgar/data/1828185/000110465926106183/0001104659-26-106183-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1828185&type=8-K&dateb=&owner=include&count=40"
"0001193125-26-385826","Blue Laser Fusion, Inc.","","","1938570","1.01 2.01 3.02 3.03 4.01 5.01 5.02 5.03 5.05 5.06 9.01","Blank Checks","Non-accelerated filer · Smaller reporting company · Emerging growth company","","","GOLETA","CA","Unite Acquisition 2 Corp.","2026-09-04","2026-09-09","","","https://www.sec.gov/Archives/edgar/data/1938570/000119312526385826/0001193125-26-385826-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1938570&type=8-K&dateb=&owner=include&count=40"
"0000038725-26-000062","FRANKLIN ELECTRIC CO INC","","","38725","1.01 2.01 3.02 7.01 9.01","Manufacturing","","","","FORT WAYNE","IN","","2026-09-04","2026-09-08","","Cat Pumps, based in Minneapolis with global operations, is a market leader in high-pressure plunger and piston pumps serving commercial and industrial applications.","https://www.sec.gov/Archives/edgar/data/38725/000003872526000062/0000038725-26-000062-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=38725&type=8-K&dateb=&owner=include&count=40"
"0001104659-26-105902","Medalist Diversified, Inc.","MDRR","Nasdaq","1654595","1.01 2.01 9.01","Real Estate Investment Trusts","Non-accelerated filer · Smaller reporting company","10396618","2025","RICHMOND","VA","Medalist Diversified REIT, Inc.","2026-09-01","2026-09-08","","In accordance with Article 11 of Regulation S-X, certain unaudited financial information for the properties disposed of since December 31, 2025 that are not individually significant have also been presented.","https://www.sec.gov/Archives/edgar/data/1654595/000110465926105902/0001104659-26-105902-index.htm","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1654595&type=8-K&dateb=&owner=include&count=40"
